Time,DateTimeValue,Temp,TempSP,Comp1,Comp2,RevValve,Fan,Occupancy,Scheduled
12/06/2016 7:11:00 AM,42533.29931,21.4,23,Off,Off,Off,Off,0,FALSE
12/06/2016 6:56:00 AM,42533.28889,21.4,23,Off,Off,Off,Off,0,FALSE
12/06/2016 6:41:00 AM,42533.27847,21.4,23,Off,Off,Off,Off,0,FALSE
12/06/2016 6:26:00 AM,42533.26806,21.4,23,Off,Off,Off,Off,0,FALSE
12/06/2016 6:11:00 AM,42533.25764,21.4,23,Off,Off,Off,Off,0,FALSE
12/06/2016 5:56:00 AM,42533.24722,21.4,23,Off,Off,Off,Off,0,FALSE
12/06/2016 5:41:00 AM,42533.23681,21.5,23,Off,Off,Off,Off,0,FALSE
12/06/2016 5:26:00 AM,42533.22639,21.5,23,Off,Off,Off,Off,0,FALSE
12/06/2016 5:11:00 AM,42533.21597,21.5,23,Off,Off,Off,Off,0,FALSE
12/06/2016 4:56:00 AM,42533.20556,21.5,23,Off,Off,Off,Off,0,FALSE
12/06/2016 4:41:00 AM,42533.19514,21.6,23,Off,Off,Off,Off,0,FALSE
12/06/2016 4:26:00 AM,42533.18472,21.6,23,Off,Off,Off,Off,0,FALSE
12/06/2016 4:11:00 AM,42533.17431,21.6,23,Off,Off,Off,Off,0,FALSE
12/06/2016 3:56:00 AM,42533.16389,21.7,23,Off,Off,Off,Off,0,FALSE
12/06/2016 3:41:00 AM,42533.15347,21.7,23,Off,Off,Off,Off,0,FALSE
12/06/2016 3:26:00 AM,42533.14306,21.7,23,Off,Off,Off,Off,0,FALSE
12/06/2016 3:11:00 AM,42533.13264,21.7,23,Off,Off,Off,Off,0,FALSE
12/06/2016 2:56:00 AM,42533.12222,21.7,23,Off,Off,Off,Off,0,FALSE
12/06/2016 2:41:00 AM,42533.11181,21.7,23,Off,Off,Off,Off,0,FALSE
12/06/2016 2:26:00 AM,42533.10139,21.8,23,Off,Off,Off,Off,0,FALSE
12/06/2016 2:11:00 AM,42533.09097,21.8,23,Off,Off,Off,Off,0,FALSE
12/06/2016 1:56:00 AM,42533.08056,21.8,23,Off,Off,Off,Off,0,FALSE
12/06/2016 1:41:00 AM,42533.07014,21.9,23,Off,Off,Off,Off,0,FALSE
12/06/2016 1:26:00 AM,42533.05972,21.9,23,Off,Off,Off,Off,0,FALSE
12/06/2016 1:11:00 AM,42533.04931,21.9,23,Off,Off,Off,Off,0,FALSE
12/06/2016 12:56:00 AM,42533.03889,21.9,23,Off,Off,Off,Off,0,FALSE
12/06/2016 12:41:00 AM,42533.02847,21.9,23,Off,Off,Off,Off,0,FALSE
12/06/2016 12:26:00 AM,42533.01806,22,23,Off,Off,Off,Off,0,FALSE
12/06/2016 12:11:00 AM,42533.00764,22,23,Off,Off,Off,Off,0,FALSE
11/06/2016 11:56:00 PM,42532.99722,22,23,Off,Off,Off,Off,0,FALSE
11/06/2016 11:41:00 PM,42532.98681,22,23,Off,Off,Off,Off,0,FALSE
11/06/2016 11:26:00 PM,42532.97639,22.1,23,Off,Off,Off,Off,0,FALSE
11/06/2016 11:11:00 PM,42532.96597,22.1,23,Off,Off,Off,Off,0,FALSE
